2026-08-28 16:02:41 | INFO     | worker.27ed4c3f-0d02-4923-b820-a2b4b273184f | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] Fetching video metadata
2026-08-28 16:02:41 | INFO     | youtube | Fetching metadata for video_id=mNcEHwRysnc
2026-08-28 16:02:45 | INFO     | worker.27ed4c3f-0d02-4923-b820-a2b4b273184f | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] Video: Family Kirana Store S2 | EP1- Aamdani Athani | Ft. Shrikant Verma, Garima Singh, Hemant Mishra | TVF (1230s)
2026-08-28 16:02:45 | INFO     | worker.27ed4c3f-0d02-4923-b820-a2b4b273184f | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] Downloading video
2026-08-28 16:02:45 | INFO     | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] Starting download: https://youtu.be/mNcEHwRysnc?si=sSr7e5EcXoWPIezb
2026-08-28 16:02:46 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [youtube] Extracting URL: https://youtu.be/mNcEHwRysnc?si=sSr7e5EcXoWPIezb
2026-08-28 16:02:46 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [youtube] mNcEHwRysnc: Downloading webpage
2026-08-28 16:02:47 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: WARNING: [youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one
2026-08-28 16:02:47 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [youtube] mNcEHwRysnc: Downloading visionos player API JSON
2026-08-28 16:02:47 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [youtube] mNcEHwRysnc: Downloading m3u8 information
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [info] mNcEHwRysnc: Downloading 1 format(s): 398+140
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: WARNING: You have requested merging of multiple formats but ffmpeg is not installed. The formats won't be merged
